Open,High,Low,Close,Adj Close,Volume,Days_Since_Start
0.009131,0.010599,0.009058,0.01,0.01,10344771,1709
0.009998,0.010259,0.00984,0.009911,0.009911,5518107,1710
0.009913,0.01002,0.009351,0.00936,0.00936,3588646,1711
0.00935,0.00949,0.009081,0.009158,0.009158,3069485,1712
0.009157,0.009232,0.007534,0.007888,0.007888,7501420,1713
0.007892,0.007902,0.006302,0.006577,0.006577,6936255,1714
0.006576,0.007719,0.006566,0.007629,0.007629,4410044,1715
0.007623,0.007653,0.006935,0.007287,0.007287,2436663,1716
0.007284,0.007317,0.006924,0.006949,0.006949,1504611,1717
0.00695,0.007086,0.006682,0.006769,0.006769,2275104,1718
0.006769,0.006912,0.006305,0.006803,0.006803,2574819,1719
0.006807,0.007248,0.006783,0.007046,0.007046,1747306,1720
0.007044,0.007156,0.006799,0.006921,0.006921,3110090,1721
0.006922,0.006979,0.006838,0.006888,0.006888,2308868,1722
0.006888,0.007167,0.006847,0.006938,0.006938,2552289,1723
0.006935,0.007145,0.006886,0.007088,0.007088,2091115,1724
0.007088,0.007165,0.006695,0.006704,0.006704,2389051,1725
0.006707,0.006766,0.00653,0.006661,0.006661,2764682,1726
0.006661,0.006811,0.006532,0.006743,0.006743,2164153,1727
0.006743,0.007378,0.006695,0.007354,0.007354,4269567,1728
0.007356,0.007445,0.007162,0.007395,0.007395,3151617,1729
0.007387,0.007685,0.007208,0.00751,0.00751,3865665,1730
0.007504,0.007616,0.007356,0.007389,0.007389,2383377,1731
0.007388,0.007773,0.007386,0.007586,0.007586,2384253,1732
0.007586,0.00763,0.00717,0.007269,0.007269,3401955,1733
0.007271,0.007646,0.00722,0.007366,0.007366,1993782,1734
0.007366,0.007717,0.007361,0.007707,0.007707,2256766,1735
0.007707,0.007764,0.007596,0.007706,0.007706,2234763,1736
0.007707,0.007847,0.007671,0.007828,0.007828,2272090,1737
0.007824,0.007897,0.007644,0.007665,0.007665,2671067,1738
0.007665,0.007833,0.007591,0.007761,0.007761,3775518,1739
0.00776,0.00786,0.007504,0.00756,0.00756,2511891,1740
0.007562,0.007789,0.007546,0.007643,0.007643,2490787,1741
0.007643,0.007648,0.007282,0.007344,0.007344,2469504,1742
0.007345,0.007469,0.007302,0.007442,0.007442,1846865,1743
0.00744,0.007586,0.007428,0.007511,0.007511,2263130,1744
0.007513,0.007789,0.007492,0.007633,0.007633,3541646,1745
0.007633,0.007915,0.007622,0.007739,0.007739,2881775,1746
0.007739,0.007822,0.007508,0.007742,0.007742,2244749,1747
0.007741,0.009921,0.007691,0.007969,0.007969,23498331,1748
0.007971,0.010671,0.007971,0.00935,0.00935,45746442,1749
0.009345,0.009345,0.008616,0.008686,0.008686,15496009,1750
0.008686,0.00917,0.007856,0.007908,0.007908,10174968,1751
0.007905,0.008566,0.007829,0.008329,0.008329,5828005,1752
0.008325,0.008329,0.007985,0.008125,0.008125,2896036,1753
0.008131,0.008591,0.007863,0.008142,0.008142,5727756,1754
0.008147,0.00854,0.008038,0.008343,0.008343,3889271,1755
0.008336,0.008371,0.008054,0.008119,0.008119,3099306,1756
0.008121,0.008206,0.007916,0.008123,0.008123,3893842,1757
0.008128,0.008157,0.007918,0.007927,0.007927,3036649,1758
0.007928,0.008039,0.007808,0.007816,0.007816,2389427,1759
0.007816,0.007892,0.00762,0.007646,0.007646,2664719,1760
0.007641,0.007744,0.007585,0.00774,0.00774,2056898,1761
0.007738,0.007755,0.007486,0.007671,0.007671,2189164,1762
0.007673,0.007773,0.0075,0.007597,0.007597,3623368,1763
0.007597,0.007704,0.007524,0.007639,0.007639,2664457,1764
0.007637,0.007742,0.007604,0.007704,0.007704,2201895,1765
0.007704,0.007835,0.00769,0.00771,0.00771,2047590,1766
0.00771,0.007897,0.007676,0.007858,0.007858,2104702,1767
0.007857,0.007995,0.007764,0.007955,0.007955,2558384,1768
0.007955,0.008003,0.00779,0.007899,0.007899,2606873,1769
0.007899,0.008068,0.007869,0.008023,0.008023,2394543,1770
0.008023,0.008155,0.007991,0.008048,0.008048,2351384,1771
0.008051,0.008238,0.00794,0.008215,0.008215,2640833,1772
0.008215,0.008245,0.008131,0.008149,0.008149,1984827,1773
0.008154,0.008293,0.008081,0.00829,0.00829,2076119,1774
0.008291,0.00884,0.008282,0.008633,0.008633,3905027,1775
0.008631,0.008826,0.008563,0.0087,0.0087,3699496,1776
0.008696,0.008973,0.008548,0.00891,0.00891,3570401,1777
0.009028,0.009491,0.008823,0.009382,0.009382,5503993,1778
0.009381,0.009875,0.009193,0.009782,0.009782,5391463,1779
0.009776,0.010245,0.009555,0.009809,0.009809,8698674,1780
0.009808,0.010154,0.009701,0.010137,0.010137,7163776,1781
0.010139,0.010484,0.010101,0.010228,0.010228,6245089,1782
0.010229,0.010274,0.009976,0.009976,0.009976,4717116,1783
0.009972,0.010104,0.009262,0.009272,0.009272,6453304,1784
0.009272,0.009497,0.009016,0.009183,0.009183,4467892,1785
0.009182,0.009635,0.008967,0.009634,0.009634,5007060,1786
0.009634,0.010381,0.009609,0.010123,0.010123,7498637,1787
0.010118,0.010732,0.010107,0.010519,0.010519,5845006,1788
0.010515,0.010714,0.010444,0.010692,0.010692,4880799,1789
0.010684,0.011019,0.010371,0.010398,0.010398,5658302,1790
0.010395,0.01098,0.01017,0.010799,0.010799,4581236,1791
0.010796,0.01119,0.010796,0.01106,0.01106,6062666,1792
0.011065,0.011197,0.010802,0.011106,0.011106,4402641,1793
0.011106,0.01117,0.010577,0.010625,0.010625,3423440,1794
0.010628,0.011044,0.010598,0.010995,0.010995,4144080,1795
0.010995,0.011132,0.010056,0.010278,0.010278,6000167,1796
0.010279,0.01053,0.0102,0.010435,0.010435,3899533,1797
0.010431,0.010887,0.009971,0.010827,0.010827,6488269,1798
0.01083,0.011434,0.010828,0.010908,0.010908,8716521,1799
0.010906,0.011224,0.010752,0.011185,0.011185,6403259,1800
0.011182,0.011332,0.011042,0.011094,0.011094,3890442,1801
0.011094,0.011161,0.01042,0.010549,0.010549,5471181,1802
0.010547,0.010718,0.010331,0.010345,0.010345,4647053,1803
0.010351,0.011583,0.010351,0.011463,0.011463,10938948,1804
0.011464,0.011587,0.010814,0.011074,0.011074,7202226,1805
0.011079,0.01125,0.009775,0.009889,0.009889,14971038,1806
0.009883,0.009938,0.009683,0.009825,0.009825,6682315,1807
0.00982,0.009958,0.009764,0.009936,0.009936,4363030,1808
0.009936,0.010162,0.009725,0.009799,0.009799,5014161,1809
0.009799,0.009872,0.009366,0.009659,0.009659,6608208,1810
0.009658,0.009929,0.009457,0.009913,0.009913,5166138,1811
0.009912,0.010707,0.009831,0.010707,0.010707,6600358,1812
0.010706,0.011008,0.010286,0.010291,0.010291,9348328,1813
0.010289,0.010977,0.010266,0.010891,0.010891,7486290,1814
0.010892,0.011231,0.01085,0.010991,0.010991,6585289,1815
0.010988,0.011257,0.01086,0.011031,0.011031,7141678,1816
0.011031,0.011634,0.010774,0.01163,0.01163,8767982,1817
0.011631,0.013314,0.011529,0.012183,0.012183,37128141,1818
0.012185,0.012298,0.011586,0.012269,0.012269,10797944,1819
0.012266,0.012512,0.01204,0.012107,0.012107,7135254,1820
0.012101,0.012265,0.01127,0.011451,0.011451,7124196,1821
0.011434,0.011456,0.010918,0.011275,0.011275,5278530,1822
0.011275,0.011697,0.011205,0.0116,0.0116,5419609,1823
0.011601,0.011706,0.01126,0.011425,0.011425,4448185,1824
0.011425,0.011492,0.010969,0.011008,0.011008,4712806,1825
0.011009,0.011501,0.010954,0.011431,0.011431,4668432,1826
0.011432,0.011492,0.010969,0.011187,0.011187,3900219,1827
0.011187,0.011207,0.010314,0.010467,0.010467,5233143,1828
0.010469,0.010587,0.01012,0.010269,0.010269,3566160,1829
0.010264,0.01049,0.010251,0.010317,0.010317,2850644,1830
0.010316,0.01036,0.010076,0.010253,0.010253,3231220,1831
0.010253,0.010327,0.009979,0.010148,0.010148,3629743,1832
0.010148,0.010174,0.009601,0.009613,0.009613,4658698,1833
0.009614,0.009941,0.008945,0.00903,0.00903,5591725,1834
0.009031,0.009031,0.008509,0.008806,0.008806,5703539,1835
0.008804,0.009013,0.008494,0.008779,0.008779,3545038,1836
0.008778,0.009645,0.00868,0.009644,0.009644,3922987,1837
0.009644,0.010308,0.009406,0.010207,0.010207,7131690,1838
0.010208,0.01088,0.010113,0.010247,0.010247,8210553,1839
